"id","conference","title","work_type","url","parent_session"
"144","2","Automatic DTD simplification by examples","1","",""
"145","2","The Historical Event Mark-up and Linking Project","1","",""
"146","2","The Genre of Electronic Communication: A Virtual Barbecue Revisited","1","",""
"147","2","Tracking Culture on the Web; An Experiment","1","",""
"148","2","USING NATURAL LANGUAGE PROCESSING TECHNIQUES FOR MUSICAL PARSING","1","",""
"149","2","INTEX Solves Pronunciation and Intonation Problems in Text to Speech Reading Machines","1","",""
"150","2","Extracting multilingual lexicons from parallel corpora","1","",""
"151","2","Vocabulary Richness and Authorship Reconsidered","1","",""
"152","2","A Widow and Her Soldier: The Case of the Pickett Letters","1","",""
"153","2","Overview of Supporting Digital Scholarship Project","1","",""
"154","2","The Salisbury Project: Collecting an Existing Digital Resource","1","",""
"155","2","Planning Obsolescence: Dynamic Architectures for Digital Scholarship","1","",""
"156","2","Collecting Existing HTML Web Sites","1","",""
"157","2","Putting the dialog back together : Re-creating structure in letter publishing","1","",""
"158","2","The Decameron Web. How does encoding help pedagogy?","1","",""
"159","2","Versions of Interactivity: Meta-interpretive Response in Hypertext Fiction","1","",""
"160","2","3D Imaging and Processing of Damaged Texts","1","",""
"161","2","The Order of the Canterbury Tales:  Praxis of Computer Analysis","1","",""
"162","2","Reading the Papyrologist: Building Systems to Aid the Humanities Expert Keywords: Papyrology, Knowledge Elicitation, Cognitive Systems","1","",""
"163","2","Markup vs. Character Encoding: The quandary of handling the epigraphical/papyrological ""underdot"" in computer representation","2","",""
"164","2","Form or Function: Considerations in Presenting Historical Documents on the Web","2","",""
"165","2","Technical aspects of the production process of digital books using XML-TEI at the Miguel de Cervantes digital library","2","",""
"166","2","PhiloNet: creating semantic concordances for the analysis of         philosophical texts","2","",""
"167","2","AAC - Digital Resources in Textual Studies","2","",""
"168","2","Czech Approaching English : Verbal Forms With Personal Pronouns Across Styles in the Czech National Corpus","2","",""
"169","2","Phraseological Database Extended by Educational Material for Learning Scientific Style","2","",""
"170","2","Sharing expertise in the use of information and communication technology to enhance teaching and learning in the humanities","2","",""
"171","2","Job Seeking in Humanities Computing","2","",""
"172","2","Remote Interactive Animated Projection","2","",""
"173","2","Building Belphegor: A Multilingual Electronic Journal using TEI","2","",""
"174","2","Experiments in Multivariate Analysis and Authorship Attribution","2","",""
"175","2","What can Hyperplane-Classifiers tell us about Texts?What can Hyperplane-Classifiers tell us about Texts?","2","",""
"176","2","Music via Motion: Interactive Multimedia Performances","2","",""
"177","2","Optical Music Recognition: Stroke Tracing and Reconstruction of Handwritten Manuscripts","2","",""
"178","2","The Norwegian Museum Project","2","",""
"179","2","Revisiting Revisions: employing XML and XSL to display deeply encoded, multi-versioned text","2","",""
"180","2","Cultures and Literacies: South African students and Western Visual design on the World Wide Web","2","",""
"181","2","A  Masters Degree in Digital Humanities at the University of Virginia","1","",""
"182","2","Using the TEI to author web sites","1","",""
"183","2","Typographic Regularization in the WWP Textbase","1","",""
"184","2","TEI and Topic Maps","1","",""
"185","2","Symbiosis or serfdom?...""Are you/we/they being Served?""","1","",""
"186","2","Publishing originally digital scholarship at the University of Virginia","1","",""
"187","2","Towards a Politics of Text Encoding","1","",""
"188","2","Electronic Publishing and Academic Credibility","1","",""
"189","2","TEI for Better or Verse","1","",""
"190","2","Rhythm and metre in Italian Renaissance narrative verse","1","",""
"191","2","Time series modelling in the analysis of Greek metrics","1","",""
"192","2","The Adaption and Breakthrough of Chinese Documents Encoding  A Case Study of CBETA Digital Tripitaka and TEI","1","",""
"193","2","Automatic XML Mark-Up","1","",""
"194","2","Linking and Gathering: Automatic Hypertext in the Perseus Digital Library","1","",""
"195","2","The Tribe of Cool: Information Culture and History","8","",""
"196","3","Systemic Functional Hypertexts","1","",""
"197","3","The Myth of Roland and Its Function as Cultural Hypertext as Expressed in 'RolandHT'","1","",""
"198","3","Query Visualization, Markup, and a Region-based Document Model","1","",""
"199","3","Handing it Down: a survey of the use of tradition in French and English from the 16th to the 20th centuries","1","",""
"200","3","Charles Brockden Brown: Quantitative Analysis and Narrative Voice","1","",""
"201","3","There is Virtue in Virtuality. Future potentials of electronic humanities scholarship","1","",""
"202","3","Multiple Architectures and Multiple Media: The Salem Witch Trials and Boston's Back Bay Fens Projects","3","",""
"203","3","Human-machine communication by voice (A multimedia tutorial for linguists and engineers)","1","",""
"204","3","The virtual classroom: Videoconferencing for foreign language learners","1","",""
"205","3","Just-in-Time-Teaching in the Humanities: Lessons Learned from the Web Cahier","1","",""
"206","3","New Directions in Statistical Stylistics and Authorship Attribution","1","",""
"207","3","'DNA' and Non-traditional Authorship Attribution: An Inclusive Model","1","",""
"208","3","Stylometric Analysis Using Discriminant Analysis: A Study of Sherlock Holmes Stories","1","",""
"209","3","MITH's Lean, Mean Versioning Machine","3","",""
"210","3","Towards a Rhetoric of Hypertext: A Case Study in Adaptive Literature","1","",""
"211","3","Imaging and amanuenses: understanding the Manuscript of De Doctrina Christiana, attributed to John Milton","1","",""
"212","3","The Scottish Corpus of Texts and Speech: problems of corpus design","1","",""
"213","3","The Meta Dictionary","1","",""
"214","3","The Open Language Archives Community: An Infrastructure for Distributed Archiving of Language Resources","1","",""
"215","3","Forensic linguistics: the contribution of humanities computing","1","",""
"216","3","Structure of the Frequency of Occurrence of Consonants in the Speech Sound Chain as an Indicator of the Phono-Typological Closeness of Languages","1","",""
"217","3","LEMMA3 - a Primarily Wordform Based Wordclass Tagger and Lemmatizer for Unrestricted German Texts","1","",""
"218","3","Ordering Chaos: A Virtual Archive of Whitman Poetry Manuscripts","1","",""
"219","3","Jigsaw Puzzles: Problem B","1","",""
"220","3","Encoding of glyph variants - some preliminary experiments","1","",""
"221","3","METS: The Metadata Encoding Transmission Standard","3","",""
"222","3","Crunching numbers in the 'Night Watches of Bonaventura': A computer-aided contribution to author's lexicography","2","",""
"223","3","Internet Assistant","2","",""
"224","3","Organizing Multimedia Inter-textual Knowledge: New Tasks, Challenges and Technologies","2","",""
"225","3","DiCoMo: A cost estimation model for digitization projects","2","",""
"226","3","The encoding of Ibsen's manuscripts for ""Emperor and Galilean""","2","",""
"227","3","Shuhai Wenyuan Interactive Internet Worktable: Studying Ancient Chinese Philosophy On-Line","2","",""
"228","3","Classrooms, computer labs, and remote locations: Integrating the three spaces of computer aided interactive writing courses","2","",""
"229","3","Music Information Retrieval: Examining what we mean by success.","2","",""
"230","3","Prognostics of English Verb Paradigm Evolution","2","",""
"231","3","Towards declarative descriptions of transformations: An approach based on topic maps","2","",""
"232","3","Mots15 - An interactive concordance system (built from mostly off-the- shelf parts)","2","",""
"233","3","Document management system for supporting historians","2","",""
"234","3","Rich Textual Metadata: Implementation and Theory","2","",""
"235","3","SCHOLIA: a web-based reading tool for the study of language and literature","2","",""
"236","3","Element classes in contextually specified document structures","2","",""
"237","3","System for Automatic Building of a Representative Corpus Using Internet","2","",""
"238","3","The Proposed Companion to Humanities Computing","2","",""
"239","3","Building and processing a multilingual corpus of parallel texts","2","",""
"240","3","The Web Cahier: A Tool For Implementing Just-in-Time-Teaching In the Humanities","2","",""
"241","3","Facet analytical theory as a basis for a subject organization tool in a humanities portal","1","",""
"242","3","The name of the place: towards a model for interconnection of geographical entities","1","",""
"243","3","Facilitating Text Analysis in Russian Culture: TEI or Topic Maps?","1","",""
"244","3","The Austrian Academy Corpus - Digital Resources and Textual Studies","1","",""
"245","3","The electronic publication of archaeological field reports using XML","1","",""
"246","3","That Was Then: Canonicity in the Trésor","1","",""
"247","3","Making Advanced Scholarly Editions","1","",""
"248","3","Some considerations on a framework for electronic editions","1","",""
"249","3","A rediscovered Llull tract and the Augsburg Web edition of Llull's electoral writings","1","",""
"250","3","New Philology and New Phylogeny. Aspects of a critical electronic edition of Wolfram's 'Parzival'","1","",""
"251","3","Reconceiving Text Analysis","3","",""
"252","3","XML Content Integration: An Example from the Heml Project","1","",""
"253","3","Skeletons in the closet: Saying what markup means","1","",""
"254","3","Meaning and interpretation of concurrent markup","1","",""
"255","3","The Ivanhoe Game","3","",""
"256","3","A logic programming environment for document semantics and inference","1","",""
"257","3","Visualizing Overlapping Hierarchies in Textual Markup","1","",""
"258","3","A computational model for MLCD","1","",""
"259","3","Bridging disciplinary boundaries: A case study of the Music Information Retrieval Annotated Bibliography Project","1","",""
"260","3","Building a multimedia haiku dictionary","1","",""
"261","3","Interpreting Animation and Vice Versa: Can We Philosophize in Flash?","1","",""
"262","3","Into the Depths of Data. Methods of Subject Specific Content Retrieval","3","",""
"263","3","New Directions in Interdisciplinary Electronic Pedagogy: Practice, Process, Products","3","",""
"264","3","An hypothesis of formalization of literary data for text analysis: a case study on Karl Kraus' writings","1","",""
"265","3","Mapping Differences in 1st Century Greek Style","1","",""
"266","3","Computer Philology: 'Wissenschaft' or 'Hilfswissenschaft'?","1","",""
"268","4","On Determining a Valid Text for Non-Traditional Authorship Attribution Studies: Editing, Unediting, and De-Editing","1","",""
"270","4","Temporal Modelling","1","",""
"271","4","Virtual Vaudeville: A Live Performance Simulation System","1","",""
"272","4","Tagging Time in PROLOG: from quick and dirty to TEI","1","",""
"273","4","Creating a Virtual Center as an International Web-Based Interactive Infrastructure for Research and Teaching in the Language Sciences: A new Research and Library collaboration","1","",""
"274","4","Chinese Collections in Museums on the Web: Current Status, Problems, and Future","1","",""
"275","4","New Technologies, New Strategies for Integrating Information and Knowledge: Forced Migration Online","1","",""
"276","4","Data or Document? Migration of Descriptive Metadata for Medieval and Renaissance Manuscripts Between Data-Centric and Document-Centric Models: A Case Study","1","",""
"277","4","The Charles W. Cushman Collection: Enhancing Visual Resource Discovery Through Descriptive Metadata Based on Subjective Image Analysis","1","",""
"278","4","Preservation of the New Media Arts","1","",""
"279","4","The Screen or the Window: A Critical Proposal for Reading Computer Representations","1","",""
"280","4","Visual or Verbal: Two Approaches to Creating an Immersive Virtual Environment","1","",""
"281","4","Identifying Multiword Tokens Using POS Tagging and Bigram Statistics","1","",""
"282","4","Cluster Analysis of the Newcastle Electronic Corpus of Tyneside English: A comparison of Methods","1","",""
"283","4","Computational Generation of Limericks","1","",""
"284","4","Textual Critical Encoding","1","",""
"285","4","Annotation and Electronic Scholarly Editions","1","",""
"286","4","Theory in Text Encoding","1","",""
"287","4","Burrowing into Translation: A Case Study","1","",""
"288","4","Beyond Taxonomy: Digital Poetics and the Problem of Reading","1","",""
"289","4","Text Markup-Data Structure vs. Data Model","1","",""
"290","4","Anastasia: A New XML Publication System","1","",""
"292","4","Texts into Databases: The Evolving Field of New-Style Prosopography","1","",""
"293","4","The Suda On Line: Applying Computer Technology to Ancient and Byzantine Studies","1","",""
"294","4","Écriture féminine: Searching for an Indefinable Practice?","1","",""
"295","4","The Tobacco Documents Corpus: Archiving the Industry","1","",""
"298","4","Teaching literature through the net: an answer to the caos or the construction of the self","2","",""
"299","4","Developing a Toolkit for Digital Epigraphy","2","",""
"300","4","Orlando on the Web: From Development System to Web-based Delivery of a Content-Encoded Textbase","2","",""
"301","4","Towards an Electronic Esposizioni: Code as Commentary","1","",""
"302","4","The Development of the Poetry Portal at the Beck Center, Woodruff Library, Emory University","2","",""
"303","4","Solving the Legacy-Encoding Debacle with On-line Transliteration","2","",""
"304","4","TAPoR Tools: Portal text analysis tools and other primitives","2","",""
"305","4","Web Prompts the Increase of Chinese Non-English Majors' Speaking, Writing and Translating Abilities","2","",""
"306","4","Primarily History: Historians' Search for Primary Resource Materials","2","",""
"307","4","Imagining an English Markup and Management Application","1","",""
"308","4","EMMA's Genesis: Building the Client","1","",""
"309","4","EMMA's Development: From Software to Students","1","",""
"310","4","EMMA at Work in the Writing Classroom","1","",""
"311","4","Observing EMMA: The First Year","1","",""
"312","4","Delivering the Depths: Representing the Orlando Project's Interpretive Markup","1","",""
"313","4","Modelling the Depths of a Literary Encoding, with an Example from Ovid","1","",""
"314","4","Whither Deep Markup?","1","",""
"315","4","Linguistic Issues in the Entry, Character-Encoding, Processing, and Rendering of Sanskrit","3","",""
"316","4","PAD: Preservation, Archiving, and Dissemination of Electronic Literature","3","",""
"317","4","An Architecture Promoting Collaborative Research, Teaching, and Learning","1","",""
"318","4","Management of Data for Building Electronic Editions of Historic Manuscripts","1","",""
"319","4","In image-Based Electronic Edition of Alfred the Great's Old English Version of Boethius's Consolation of Philosophy","1","",""
"320","4","A Controlled-Corpus Experiment in Authorship Identification by Cross-Entropy","1","",""
"322","4","Collocations, Authorship Attribution, and Authorial Style","1","",""
"323","4","Vocabulary and Pronunciation in Lingusitic Variation","1","",""
"324","4","Zooming in on Longitudinal Variation","1","",""
"325","4","Self-Organizing Maps as an Approach to GIS Analysis of Linguistic Data","1","",""
"326","4","Iter: Building an Effective Knowledge Base","1","",""
"327","4","Algorithmic Approaches to an Electronic Scholarly Edition of Early Modern Materials","1","",""
"328","4","The Exploration and Development of Tools for Active Reading and Electronic Texts","1","",""
"329","4","Llullian Method and Interpretation in Humanities Computing","1","",""
"330","4","Rules for Reading","1","",""
"331","4","Programming as Writing as Programming","1","",""
"332","4","Applications of the Open Archives Initiative","1","",""
"333","4","Integrating TEI and EAD to Create Usable and Re-usable Archival Resources","1","",""
"334","4","A Computer-Based Questionnaire for Hearing Impaired People","1","",""
"335","4","Beyond the Archive: Immersive Textuality for William Blakes Poetry","1","",""
"336","4","MUSEUMS IN THE MIX-COLLECTIONS ACCESS ACROSS COMMUNITIES","1","",""
"337","4","DESCRIBING COLLECTIONS DIGITALLY: METADATA FRAMEWORKS FOR RESEARCH LIBRARY COLLECTIONS","1","",""
"338","4","DESCRIBING WHAT'S THERE: TOWARD A DESCRIPTIVE FRAMEWORK FOR LEGACY LIBRARY COLLECTION DESCRIPTIONS","1","",""
"339","4","XML Schema 1.0: A Language for Document Grammars","1","",""
"340","4","MIDDLE HIGH GERMAN INTERLINKED: A COMPREHENSIVE DIGITAL TEXT ARCHIVE","1","",""
"341","4","TOOLS FOR LEXICOGRAPHY, RETRIEVAL, MIDDLE HIGH GERMAN","1","",""
"342","4","ELECTRONIC DICTIONARIES AND METALEXICOGRAPHY: THE DIGITAL VERSION OF THE DEUTSCHE WÖRTERBUCH BY JACOB AND WILHELM GRIMM AS A BASIS FOR METALEXICOGRAPHICAL RESEARCH.","1","",""
"343","4","Confronting the Challenges in Collaborative Editing Projects: The Dickinson Electronic Archives File Management System","1","",""
"344","4","EXTENDING THE COLLABORATION","1","",""
"345","4","Tapor","1","",""
"346","4","DIGITAL GAMES RESEARCH, ELECTRONIC RESOURCES, AND THE CRIMINAL SCHOLAR","1","",""
"347","4","A MOST RARE VISION: THE INTERNET SHAKESPEARE EDITIONS","1","",""
"348","4","Ambiguity, Technology, and Scholarly Communication","1","",""
"350","4","Chasing DTDs. The Digital Edition of the Repertorium Biblicum Medii Aevi","1","",""
"351","4","Linguistic Corpus Construction and Analysis Before and After the IT Revolution: The Newcastle Electronic Corpus of Tyneside English in the 1960s and Now","1","",""
"352","4","Developing Markup Metaschemas to Support Interoperation among Resources","1","",""
"353","4","Peer Review of Humanities Computing Software","1","",""
"354","4","Figura: A Tool for the Collaborative Editing of Non-nesting Content","2","",""
"355","4","On the Content Model for <respStmt>: Newer is Not Necessarily Better","2","",""
"356","4","The Austrian Academy Corpus, an Extensive Corpus of German Literature and Language - The AAC Literary Journals Subcorpora","2","",""
"360","5","A Linguistic Time-Capsule: The Newcastle Electronic Corpus of Tyneside English","2","http://web.archive.org/web/20040903204504/http://www.hum.gu.se/allcach2004/AP/html/prop70.html",""
"361","5","The Hyper-Learning Project","2","http://web.archive.org/web/20040812010207/http://www.hum.gu.se/allcach2004/AP/html/prop158.html",""
"362","5","Supercomputing in the Humanities: A Robust Model for Interacting with Copyright-Sensitive Multimedia Content","2","http://web.archive.org/web/20040903204508/http://www.hum.gu.se/allcach2004/AP/html/prop127.html",""
"363","5","The Creation of Music Query Documents: Framework and Implications of the HUMIRS Project","2","http://web.archive.org/web/20040903204819/http://www.hum.gu.se/allcach2004/AP/html/prop134.html",""
"364","5","Theoretical Issues in Text Encoding: A Critical Review","2","http://web.archive.org/web/20040813205920/http://www.hum.gu.se/allcach2004/AP/html/prop85-2.html",""
"365","5","Ad-hoc Authorship Attribution Competition","2","",""
"366","5","Supporting Language Learners by Intelligent and Efficient Use of Technology","2","http://web.archive.org/web/20040903204919/http://www.hum.gu.se/allcach2004/AP/html/prop25.html",""
"367","5","From the Bookstalls of Onitsha Market to the Internet: Digitizing Popular Nigerian Literature","2","http://web.archive.org/web/20040903204801/http://www.hum.gu.se/allcach2004/AP/html/prop125.html",""
"368","5","Free yourself from C.C.M.S. (Commercial Content Management Systems)","2","http://web.archive.org/web/20040903205020/http://www.hum.gu.se/allcach2004/AP/html/Federico_Meschini.html",""
