"work_id","conference_label","conference_short_title","conference_theme_title","conference_year","conference_organizers","conference_series","conference_hosting_institutions","conference_city","conference_state","conference_country","conference_url","work_title","work_url","work_authors","work_type","parent_work_id","keywords","languages","topics"
"11","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","A Wake Newslitter - Electronic Edition","","Ian Gunn","poster / demo / art installation","","","",""
"12","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Modeling the Crystal Palace","","Chris Jessee;Michael Levenson;Will Rourk;Dave Cosca","poster / demo / art installation","","","",""
"13","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Solutions for the Delivery of Thematically-Tagged Text","","Terry Butler;Greg Coulombe;Sue Fisher","paper","","","",""
"14","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Meaning and Interpretation of Markup","","C.M. Sperberg-McQueen;Claus Huitfeldt;Allen Renear","paper","","","",""
"15","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","A Formal Model for Lexical Information","","Nancy Ide;Adam Kilgarriff;Laurent Romary","paper","","","",""
"16","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Teaching Cybertext Writing, Design, and Editing: Language, Image, Linking, Thinking","","Christopher Funkhouser","paper","","","",""
"17","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","A Toolbox for the Electronic Classroom","","Peter L. Havholm;Larry L. Stewart","paper","","","",""
"18","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Ekphrasis and the Internet: Connecting the Verbal and the Visual with Computer-mediated Student Projects in an Undergraduate Humanities Class","","Donna Reiss;Art Young","paper","","","",""
"19","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","SMART Project: Methods for Computer-based Research of Premodern Chinese Texts","","Christian Wittern","paper","","","",""
"20","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Word Order in Latin Prose Applied to a Case of Authorship Attribution: Book IV of the Stratagemata by Sextus Iulius Frontinus (1st century AD). The Contribution of Quantitative Methods via Computerized Text Analysis","","Empar Espinilla Buisan;Montserrat Nofre Maiz","paper","","","",""
"21","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Back to the Cave of Shadows: Stylistic Fingerprints in Authorship Attribution","","R. Harald Baayen;Fiona J. Tweedie;Anneke Neijt;Hans van Halteren;Loes Krebbers","paper","","","",""
"22","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","The Digital Performance Archive","","Rachael Beach","poster / demo / art installation","","","",""
"23","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","An Assistant Tool for Verse-making in Basque-based on Two-Level Morphology","","Bertol Arrieta;Xabier Arregi;Iñaki Alegria","poster / demo / art installation","","","",""
"24","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","The Second Version of the ICAME CD-ROM","","Knut Hofland","poster / demo / art installation","","","",""
"25","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Working with Alignment of Text and Sound in Spoken Corpora","","Knut Hofland","poster / demo / art installation","","","",""
"26","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Text Structure vs. Encoded Structure - Dealing with Mixed Genres and Ambiguous Texts","","Karl Johan Sæth;Ingrid Falkenberg;Ellen Margrete Nessheim;Stine Brenna Taugbøl;Mette Gismeroy Ekker","paper","","","",""
"27","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Perdita's Progress: Raising Standards in a TEI-based Approach to Cataloguing Early Modern Manuscripts","","Jill Seal;Claire Warwick;Elizabeth Clarke","paper","","","",""
"28","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Image Description at the William Blake Archive","","Kari Kraus","paper","","","",""
"29","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Kirrkirr: Software for Browsing and Visual Exploration of a Structured Warlpiri Dictionary","","Christopher D. Manning","paper","","","",""
"30","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","New Paths in Middle High German Lexicography: Dictionaries Interlinked Electronically","","Johannes Fournier","paper","","","",""
"31","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Stephen Crane and the 'New-York Tribune': a Case Study in Traditional and Non-traditional Authorship Attribution","","David I. Holmes;Michael Robertson","paper","","","",""
"32","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Making MITH a Reality: The Maryland Institute for Technology in the Humanities, Year Two","","Martha Nell Smith;Charles Lowry;Lori Goetsch;Jo Paoletti;Lisa Antonille;Jason Rhody","panel / roundtable","","","",""
"33","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","EDINA: Edinburgh Data and Information Access","","Claudia Gröpl","poster / demo / art installation","","","",""
"34","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","A Prolog System for the Automatic Generation of Bilingual Dictionaries","","Jon Mills","poster / demo / art installation","","","",""
"35","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Humanities Computing and Campus Computer/Information literacy","","Bill Kretzschmar","poster / demo / art installation","","","",""
"36","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","John Venn and the Alumni Cantabrigienses - an example of applied natural language processing techniques in enhancing the utility of a historical database","","Emma Barker","poster / demo / art installation","","","",""
"37","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","The ""Biblioteca Italiana Telematica"" Project (http://cibit.unipi.it): a Progress Report","","Mirko Tavoni;Eugenio Picchi","paper","","","",""
"38","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Poetic Prosthetic","","Greg Lessard;Michael Levison","paper","","","",""
"39","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","An American National Corpus: a Large Balanced Text Corpus for American English","","Catherine Macleod;Nancy Ide","paper","","","",""
"40","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Electric Theory (Truth, Use, and Method)","","Tamise J. Van Pelt","paper","7168","","",""
"41","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","French Neo-Structuralist Schools and Industrial Text Analysis","","William Glen Winder","paper","7168","","",""
"42","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","A Theory for Literature (Created for the World Wide Web, E-Mail, Chat Spaces, Databases, and Other Electronic Technologies)","","Dene M. Grigar","paper","7168","","",""
"43","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Computer-Mediated Discourse, Reception Theory, and Versioning","","Susan Schreibman","paper","7168","","",""
"44","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","The FALMER Project: Toward an Electronic Critical Edition","","Michel Bernard","paper","","","",""
"45","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","The Miguel Cervantes Digital Library: The Hispanic Voice on the WEB","","Andrés Pedreño","paper","","","",""
"46","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Textual Variation, Electronic Editions and Hypertext","","Edward Vanhoutte","paper","","","",""
"47","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Computing in the School of English and Scottish Language And Literature (SESLL) at the University of Glasgow","","Jean G. Anderson","poster / demo / art installation","","","",""
"48","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Experience and Expertise: The Humanities Advanced Technology and Information Institute, University of Glasgow","","Ann Gow","poster / demo / art installation","","","",""
"49","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","A Case Study of an Evaluation Questionnaire Concerning the Integration of a Hypermedia Project in University Courses","","Liliane Gallet-Blanchard;Marie-Madeleine Martinet","poster / demo / art installation","","","",""
"50","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Collaborative Campus: Rhetoric, Technology and Classroom Re-Composition","","Lissa Holloway-Attaway;Angela Mitchell;Laura Andrews;Christy Desmet;Greg VanHoosier-Carey;Patricia Worrall","poster / demo / art installation","","","",""
"51","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Machine Learning Support for Evaluation and Quality Control","","Hans van Halteren","paper","","","",""
"52","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","A Corpus-Based Methodology for Identifying Non-nominal ""It"": Rule-Based and Machine Learning Approaches","","Richard Evans","paper","","","",""
"53","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Binomials and the Computer: a Study in Corpus-Based Phraseology","","Ourania Hatzidaki","paper","","","",""
"54","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","ACAD - a Cambridge Alumni Database","","John Dawson","paper","","","",""
"55","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","New Models for Electronic Publishing","","Ronald Tetreault","paper","","","",""
"56","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Academic Collaboration On Line: The SOL as a Case Study","","William Hutton;Elizabeth Vandiver;Patrick Rourke;Ross Scaife;Raphael Finkel","paper","","","",""
"57","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Dating Dickinson: an Experimental Approach to Stylochronometry","","Constantina Stamou;Richard S. Forsyth","poster / demo / art installation","","","",""
"58","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","A Comparison of Methods for the Attribution of Authorship of Popular Fiction","","Fiona J. Tweedie;Lisa Lena Opas-Hänninen","poster / demo / art installation","","","",""
"59","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Computational Methods for the Study of Multilingual Corpora","","Silvia Hansen","poster / demo / art installation","","","",""
"60","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","A System for Dynamic Text Corpus Management (with an Example Corpus of the Russian Mass Media of the 1990s)","","Girogri Sidorov;Anatoly Baranov;Mikhail Mikhailov","poster / demo / art installation","","","",""
"61","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","XSL - Characteristics, Status, and Potentials for Text Processing Applications in the Humanities","","Wendell Piez","paper","","","",""
"62","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Metainformation Strategies for Electronic Resources","","Susan Schreibman","paper","","","",""
"63","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","On Mock-scholarly, Faux-casual, and Cod Philosophy: Patterns of Diachronic Change in a British Newspaper","","R. Harald Baayen;Antoinette Renouf","paper","","","",""
"64","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Primroses and Power: a Study on Linguistic Excellence in Political Discourse","","Anna Loiacono;Angela Maria D'Uggento;Barbara Cafarelli;Rosaria Romita","paper","","","",""
"65","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","The Statistical Analysis of Style: How Language Means in Beckett","","C.W.F. McKenna","paper","","","",""
"66","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Border Crossing: Engineers, Papyrologists, and the Graphical Use Interface","","Melissa Terras","paper","","","",""
"67","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Trajan's Column: Building a WWW Image-Database","","Geoffrey Rockwell;Gretchen Umholtz;Michele George;Martin Beckmann;Paul Barrette","paper","","","",""
"68","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Digital Images for Online Distance Education in the Humanities","","Sue Tickner;Richard Hooker;Francis Halsall","paper","","","",""
"69","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Books into Bytes: The ""Deutsches Wörterbuch"" on CD-ROM and on the Internet","","Ruth Christmann","poster / demo / art installation","","","",""
"70","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Construction of Russian Corpus-Driven Dictionary Based and Monitor Corpora","","Serge A. Yablonsky","poster / demo / art installation","","","",""
"71","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","The MATE Workbench - a Tool for XML Corpus Annotation","","Amy Isard;David McKelvie;Andreas Mengel;Morten Baun Moeller","poster / demo / art installation","","","",""
"72","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Austrian Academy Corpus - Doing literary markup by means of XML","","Karlheinz Moerth;Hanno Biber","poster / demo / art installation","","","",""
"73","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","The Humanities Computing Job Market","","Allen Renear;Robin Cover;Julia Flanders;Lorna Hughes;Matthew Kirschenbaum;Wendell Piez;Geoffrey Rockwell","panel / roundtable","","","",""
"74","2000 - Glasgow","Glasgow","","2000","ACH;ALLC","ACH/ALLC;ACH/ICCH;ALLC/EADH","University of Glasgow","Glasgow","Scotland","United Kingdom","https://web.archive.org/web/20190421230852/https://www.arts.gla.ac.uk/allcach2k/","Textbases and Databases: Integrating Library Catalogs with Digital Libraries","","Perry Willett","paper","","","",""
